channels,n_obs,n_back,max_iter,post_optimize,time_mean,time_min,time_max,exp
1,200,5,5,True,6.766940400001476,6.725117300011334,6.804404299997259,obs_scaling
2,200,5,5,True,8.712428299995372,8.662225499996566,8.743702699997812,obs_scaling
3,200,5,5,True,10.403955919996951,10.363277299999027,10.442205699990154,obs_scaling
4,200,5,5,True,12.089035599998898,12.044117000012193,12.130073599997559,obs_scaling
5,200,5,5,True,13.820088280001073,13.750405999991926,13.948624700002256,obs_scaling
6,200,5,5,True,15.493673640000633,15.458013800001936,15.522156399994856,obs_scaling
7,200,5,5,True,17.200272039996342,17.0613333999936,17.322022299995297,obs_scaling
8,200,5,5,True,18.97389734000317,18.911995600006776,19.112386300010257,obs_scaling
1,300,5,5,True,7.258705899995403,7.219033899993519,7.323286599988933,obs_scaling
2,300,5,5,True,9.247634819999803,9.189845000000787,9.337139499999466,obs_scaling
3,300,5,5,True,11.181049400000484,11.106092400004854,11.26463629999489,obs_scaling
4,300,5,5,True,12.86099196000141,12.791801500003203,13.010375199999544,obs_scaling
5,300,5,5,True,14.659767940003075,14.542412299997522,14.755910699997912,obs_scaling
6,300,5,5,True,16.4704995600041,16.36809930000163,16.55986350000603,obs_scaling
7,300,5,5,True,18.367794659998616,18.246977699993295,18.66091679999954,obs_scaling
8,300,5,5,True,20.124469059999683,20.06935039999371,20.216702400008217,obs_scaling
1,400,5,5,True,7.6729263000015635,7.6069770000030985,7.706134599997313,obs_scaling
2,400,5,5,True,9.758424399999786,9.688730900001246,9.849463899998227,obs_scaling
3,400,5,5,True,11.673725860001287,11.623902500010445,11.719802899999195,obs_scaling
4,400,5,5,True,13.453058700001566,13.362152600006084,13.589051799994195,obs_scaling
5,400,5,5,True,15.217419079996763,15.193573099997593,15.256555799991474,obs_scaling
6,400,5,5,True,17.07227424000157,17.03829469998891,17.096468500007177,obs_scaling
7,400,5,5,True,18.884271060000174,18.782982000004267,19.006221600007848,obs_scaling
8,400,5,5,True,20.61507730000303,20.5307385000051,20.681651100007002,obs_scaling
1,500,5,5,True,8.083056599998963,8.036190099999658,8.18074450000131,obs_scaling
2,500,5,5,True,10.253761840000516,10.209697300000698,10.309586799994577,obs_scaling
3,500,5,5,True,12.533292479996453,12.291743800000404,13.051159699985874,obs_scaling
4,500,5,5,True,14.060061640004278,14.004761999996845,14.199321899999632,obs_scaling
5,500,5,5,True,15.974165740000899,15.898301699999138,16.024781600004644,obs_scaling
6,500,5,5,True,17.849396839999827,17.794826500001363,17.896226099997875,obs_scaling
7,500,5,5,True,19.71679962000053,19.65614390000701,19.804469199996674,obs_scaling
8,500,5,5,True,21.58763368000218,21.51082129999122,21.69518630001403,obs_scaling
